Main division = 480
Main401:onset=198720,offset=199190notenum=80
Main402:onset=199200,offset=199430notenum=76
Main403:onset=199440,offset=199670notenum=75
Main404:onset=199680,offset=200150notenum=73
Main405:onset=200160,offset=200630notenum=85
Main406:onset=200640,offset=201110notenum=83
Main407:onset=201120,offset=201590notenum=78
Main408:onset=201600,offset=202790notenum=80
Main409:onset=203520,offset=203750notenum=78
Main410:onset=203760,offset=203990notenum=78
Main411:onset=204000,offset=204230notenum=78
Main412:onset=204240,offset=204710notenum=78
Main413:onset=204720,offset=204950notenum=78
Main414:onset=204960,offset=205430notenum=81
Main415:onset=205440,offset=205910notenum=80
Main416:onset=205920,offset=206150notenum=76
Main417:onset=206160,offset=206390notenum=74
Main418:onset=206400,offset=206870notenum=71
Main419:onset=206880,offset=207110notenum=73
Main420:onset=207120,offset=207350notenum=76
Main421:onset=207360,offset=207830notenum=72
Main422:onset=207840,offset=208070notenum=74
Main423:onset=208080,offset=208310notenum=76
Main424:onset=208320,offset=208790notenum=72
Main425:onset=208800,offset=209030notenum=74
Main426:onset=209040,offset=209270notenum=76
Main427:onset=209280,offset=209750notenum=77
Main428:onset=209760,offset=210230notenum=76
Main429:onset=210240,offset=210470notenum=74
Main430:onset=210480,offset=210710notenum=71
Main431:onset=210720,offset=210950notenum=68
Main432:onset=210960,offset=211190notenum=71
Main433:onset=211200,offset=213110notenum=73
Main434:onset=218880,offset=219110notenum=76
Main435:onset=219120,offset=219350notenum=76
Main436:onset=219360,offset=219590notenum=76
Main437:onset=219600,offset=219830notenum=76
Main438:onset=219840,offset=220070notenum=76
Main439:onset=220080,offset=220310notenum=76
Main440:onset=220320,offset=220550notenum=76
Main441:onset=220560,offset=220790notenum=76
Main442:onset=220800,offset=221030notenum=76
Main443:onset=221040,offset=221270notenum=76
Main444:onset=221280,offset=221510notenum=76
Main445:onset=221520,offset=221750notenum=76
Main446:onset=221760,offset=221990notenum=76
Main447:onset=222240,offset=222470notenum=81
Main448:onset=222720,offset=223190notenum=75
Main449:onset=223200,offset=223430notenum=75
Main450:onset=223440,offset=223670notenum=75
Main451:onset=223680,offset=224150notenum=75
Main452:onset=224160,offset=224390notenum=75
Main453:onset=224400,offset=224630notenum=75
Main454:onset=224640,offset=225110notenum=75
Main455:onset=225120,offset=225350notenum=75
Main456:onset=225360,offset=225590notenum=75
Main457:onset=225600,offset=225830notenum=75
Main458:onset=226080,offset=226310notenum=80
Main459:onset=226560,offset=226790notenum=73
Main460:onset=226800,offset=227030notenum=73
Main461:onset=227040,offset=227270notenum=73
Main462:onset=227280,offset=227510notenum=73
Main463:onset=227520,offset=227750notenum=71
Main464:onset=227760,offset=227990notenum=66
Main465:onset=228000,offset=228230notenum=71
Main466:onset=228240,offset=228470notenum=73
Main467:onset=228480,offset=228710notenum=76
Main468:onset=228720,offset=228950notenum=76
Main469:onset=228960,offset=229190notenum=76
Main470:onset=229200,offset=229430notenum=74
Main471:onset=229440,offset=229910notenum=76
Main472:onset=229920,offset=230150notenum=73
Main473:onset=230160,offset=230390notenum=71
Main474:onset=230400,offset=230870notenum=78
Main475:onset=230880,offset=231350notenum=76
Main476:onset=231360,offset=231590notenum=74
Main477:onset=231600,offset=231830notenum=71
Main478:onset=231840,offset=232070notenum=66
Main479:onset=232320,offset=232790notenum=78
Main480:onset=232800,offset=233030notenum=76
Main481:onset=233040,offset=233150notenum=81
Main482:onset=233160,offset=233270notenum=81
Main483:onset=233280,offset=233750notenum=78
Main484:onset=233760,offset=233990notenum=76
Main485:onset=234000,offset=234710notenum=74
Main486:onset=234720,offset=236630notenum=73
Main487:onset=245760,offset=246230notenum=78
Main488:onset=246240,offset=246590notenum=76
Main489:onset=246600,offset=246950notenum=74
Main490:onset=246960,offset=247190notenum=71
Main491:onset=247200,offset=247430notenum=66
Main492:onset=247440,offset=247670notenum=66
Main493:onset=247680,offset=248150notenum=80
Main494:onset=248160,offset=248390notenum=76
Main495:onset=248400,offset=248630notenum=80
Main496:onset=248640,offset=249110notenum=80
Main497:onset=249120,offset=249350notenum=76
Main498:onset=249360,offset=251270notenum=74
Main499:onset=251280,offset=251510notenum=71
Main500:onset=251520,offset=251750notenum=76
Main501:onset=251760,offset=252470notenum=74
Main502:onset=252480,offset=252950notenum=76
Main503:onset=253440,offset=253670notenum=71
Main504:onset=253680,offset=253910notenum=71
Main505:onset=253920,offset=254390notenum=71
Main506:onset=254400,offset=254870notenum=80
Main507:onset=254880,offset=255110notenum=80
Main508:onset=255120,offset=255350notenum=80
Main509:onset=255360,offset=255830notenum=81
Main510:onset=255840,offset=256070notenum=79
Main511:onset=256080,offset=256310notenum=76
Main512:onset=256320,offset=256790notenum=80
Main513:onset=256800,offset=257030notenum=75
Main514:onset=257040,offset=257270notenum=75
Main515:onset=257280,offset=257750notenum=71
Main516:onset=257760,offset=258230notenum=83
Main517:onset=258240,offset=258710notenum=83
Main518:onset=258720,offset=259190notenum=78
Main519:onset=259200,offset=260390notenum=81
Main520:onset=261120,offset=261590notenum=78
Main521:onset=261600,offset=262070notenum=78
Main522:onset=262080,offset=262550notenum=76
Main523:onset=262560,offset=262790notenum=78
Main524:onset=262800,offset=263030notenum=81
Main525:onset=263040,offset=263510notenum=78
Main526:onset=263520,offset=263750notenum=76
Main527:onset=263760,offset=263990notenum=74
Main528:onset=264000,offset=264470notenum=71
Main529:onset=264480,offset=264710notenum=73
Main530:onset=264720,offset=264950notenum=76
Main531:onset=264960,offset=265190notenum=76
Main532:onset=265200,offset=265430notenum=76
Main533:onset=265440,offset=265670notenum=76
Main534:onset=265680,offset=265910notenum=76
Main535:onset=265920,offset=266390notenum=76
Main536:onset=266400,offset=266630notenum=78
Main537:onset=266640,offset=267590notenum=76
Main538:onset=267600,offset=267710notenum=76
Main539:onset=267720,offset=267830notenum=76
Main540:onset=267840,offset=268310notenum=73
Main541:onset=268800,offset=269030notenum=73
Main542:onset=269040,offset=269270notenum=73
Main543:onset=269280,offset=269510notenum=73
Main544:onset=269520,offset=269750notenum=73
Main545:onset=269760,offset=270230notenum=80
Main546:onset=270240,offset=270470notenum=80
Main547:onset=270480,offset=270710notenum=80
Main548:onset=270720,offset=271190notenum=81
Main549:onset=271200,offset=271430notenum=79
Main550:onset=271440,offset=271670notenum=77
Main551:onset=271680,offset=272150notenum=80
Main552:onset=272160,offset=272390notenum=75
Main553:onset=272400,offset=272630notenum=75
Main554:onset=272640,offset=273110notenum=73
Main555:onset=273120,offset=273590notenum=85
Main556:onset=273600,offset=274070notenum=83
Main557:onset=274080,offset=274550notenum=78
Main558:onset=274560,offset=275750notenum=81
Main559:onset=276480,offset=276710notenum=78
Main560:onset=276720,offset=276950notenum=78
Main561:onset=276960,offset=277190notenum=78
Main562:onset=277200,offset=277670notenum=78
Main563:onset=277680,offset=277910notenum=80
Main564:onset=277920,offset=278390notenum=81
Main565:onset=278400,offset=278870notenum=80
Main566:onset=278880,offset=279110notenum=75
Main567:onset=279120,offset=279350notenum=75
Main568:onset=279360,offset=282710notenum=71
Main569:onset=282720,offset=282950notenum=76
Main570:onset=282960,offset=283670notenum=75
Main571:onset=284160,offset=284390notenum=73
Main572:onset=284400,offset=284630notenum=73
Main573:onset=284640,offset=285110notenum=73
Main574:onset=285120,offset=285590notenum=80
Main575:onset=285600,offset=285830notenum=80
Main576:onset=285840,offset=286070notenum=80
Main577:onset=286080,offset=286550notenum=80
Main578:onset=286560,offset=286790notenum=80
Main579:onset=286800,offset=287030notenum=76
Main580:onset=287040,offset=287510notenum=80
Main581:onset=287520,offset=287750notenum=76
Main582:onset=287760,offset=287990notenum=75
Main583:onset=288000,offset=288470notenum=73
Main584:onset=288480,offset=288950notenum=85
Main585:onset=288960,offset=289430notenum=83
Main586:onset=289440,offset=289910notenum=78
Main587:onset=289920,offset=291110notenum=81
Main588:onset=291840,offset=292310notenum=78
Main589:onset=292320,offset=292790notenum=78
Main590:onset=292800,offset=293270notenum=76
Main591:onset=293280,offset=293510notenum=78
Main592:onset=293520,offset=293750notenum=81
Main593:onset=293760,offset=294230notenum=80
Main594:onset=294240,offset=294470notenum=76
Main595:onset=294480,offset=294710notenum=74
Main596:onset=294720,offset=295190notenum=71
Main597:onset=295200,offset=295430notenum=73
Main598:onset=295440,offset=295670notenum=76
Main599:onset=295680,offset=295910notenum=76
Main600:onset=295920,offset=296150notenum=76
Main601:onset=296160,offset=296390notenum=76
Main602:onset=296400,offset=296630notenum=76
Main603:onset=296640,offset=297110notenum=76
Main604:onset=297120,offset=297350notenum=78
Main605:onset=297360,offset=298310notenum=76
Main606:onset=298320,offset=298430notenum=76
Main607:onset=298440,offset=298550notenum=76
Main608:onset=298560,offset=299030notenum=74
Main609:onset=299520,offset=299750notenum=73
Main610:onset=299760,offset=299990notenum=73
Main611:onset=300000,offset=300230notenum=73
Main612:onset=300240,offset=300470notenum=73
Main613:onset=300480,offset=300950notenum=80
Main614:onset=300960,offset=301190notenum=80
Main615:onset=301200,offset=301430notenum=80
Main616:onset=301440,offset=301910notenum=80
Main617:onset=301920,offset=302150notenum=80
Main618:onset=302160,offset=302390notenum=76
Main619:onset=302400,offset=302630notenum=80
Main620:onset=302880,offset=303110notenum=76
Main621:onset=303120,offset=303350notenum=75
Main622:onset=303360,offset=303830notenum=73
Main623:onset=303840,offset=304310notenum=85
Main624:onset=304320,offset=304790notenum=83
Main625:onset=304800,offset=305270notenum=78
Main626:onset=305280,offset=306470notenum=80
Main627:onset=307200,offset=307430notenum=78
Main628:onset=307440,offset=307670notenum=78
Main629:onset=307680,offset=307910notenum=78
Main630:onset=307920,offset=308390notenum=78
Main631:onset=308400,offset=308630notenum=78
Main632:onset=308640,offset=309110notenum=81
Main633:onset=309120,offset=309590notenum=80
Main634:onset=309600,offset=309830notenum=76
Main635:onset=309840,offset=310070notenum=74
Main636:onset=310080,offset=310550notenum=72
Main637:onset=310560,offset=310790notenum=74
Main638:onset=310800,offset=311030notenum=76
Main639:onset=311040,offset=311510notenum=72
Main640:onset=311520,offset=311750notenum=74
Main641:onset=311760,offset=311990notenum=76
Main642:onset=312000,offset=312470notenum=72
Main643:onset=312480,offset=312710notenum=74
Main644:onset=312720,offset=312950notenum=76
Main645:onset=312960,offset=313430notenum=76
Main646:onset=313440,offset=313910notenum=80
Main647:onset=313920,offset=314150notenum=76
Main648:onset=314160,offset=314390notenum=74
Main649:onset=314400,offset=314630notenum=72
Main650:onset=314640,offset=314870notenum=72
Main651:onset=314880,offset=316790notenum=71
==============
Hamo division = 480
Hamo0:onset=10800,offset=11030notenum=66
Hamo1:onset=11040,offset=11270notenum=71
Hamo2:onset=11280,offset=11510notenum=73
Hamo3:onset=11520,offset=11750notenum=74
Hamo4:onset=11760,offset=11990notenum=74
Hamo5:onset=12000,offset=12230notenum=74
Hamo6:onset=12240,offset=12710notenum=73
Hamo7:onset=12720,offset=12950notenum=66
Hamo8:onset=12960,offset=13430notenum=71
Hamo9:onset=13440,offset=14390notenum=73
Hamo10:onset=14640,offset=14870notenum=66
